Tweet 
 The nytimes thrilled Obama talking Communist dictator Castro horrified Trump talking elected le 
 Oops thehill Trump breaks decades US protocol phone call Taiwan leader 
 Donald Trumpcall Taiwan president surprise Official 
 So Trump spoke president Taiwan 
 Trumps wants build hotel resorts Taiwan 
 Does anyone see CONFLICTn 
 Same mental midgets defended Castro mad Trump talked Taiwan 
 Trumps Taiwan phone call preceded hotel development inquiry 
 1About Trumps phone call Taiwans First major diplomatic incident Second part US normalizatie 
 Trump Speaks With TaiwanLeader Affront China SouthChinaSea AsiaPacificnd 
 REVEALED Trump Organization eyes Taiwan newest luxury resort location 
 Obama release info congress refugees deal yall worried congratulatory call ally Taie 
 Trump says Taiwan leader called him though Taiwan paper says Trump staffer arranged call 
 Hoaxing media says Trump allowed talk Taiwan Obama sell 183 billion worth weapons 
 I wonder conservs respond Trump reversed ChinaTaiwan policy put place Reagan amp honored 
 Can believe Donald Trump took call Taiwan without donate private foundation first 
 MarkJKremer MSM continues lie lie lie Taiwan called Trump He call Taiwan 
 Trump Org we planning expansion Taiwan How abt this Great find mega2e htte 
 MSM says Trump cant talk leader Taiwan Hillary accept millions dollars countries enslave womee 
 Presidentelect Trump invited Taiwans leader The Tango The media loves Presidential Tangos 
 Media freakout Trump taking call Taiwan leads one hilarious tweet 
 Media GOES HYSTERICAL Over Phone Call From Taiwan Forgets Obama Sold Taiwan Billions In Weapons via amlookout 
 Trump fire tweet claiming got drunk played 5 hours Grand Theft Auto Taiwan president 
 Trump destroyed 37 yrs USChinaTaiwan balance wants build hotel make money The world He coe 
 Trump talked president Taiwan today That potential infuriate China 
 Oh maaaanTrump camp denies plans expand Taiwan Trump employee posted work trip FB juse 
 Cant believe US presidents spineless kowtowing commie scum recognising Taiwan govt Nice one Trump 
 The Trump Taiwan fiasco proved every point ever made PresidentElects rhetoric hes unfit every level te 
 In current year media thinks phone call President Taiwan congratulate President Trump means wae 
 Re Trump amp Taiwan Face it Our presidentelect imbecile Incurious Ignorant Lazy Dangerous Imbecile WereSoScrew 
 Taiwan says contact Trump agreed ahead timepresidential office 
 Shorter Rocket ScientistInChief Trump gets played like fiddle President Taiwan 
 Story not Trump broke diplomatic norms calling Taiwan 
 Story motives suspect Hes seeking expand hisa 
 BREAKING Trumps Taiwan Call Sparks China Complaint WSJbreakingnews 
 Trump Taiwan 
 Obama made 18 billion arms deal Taiwan amp media care Trump phone Taiwan amp destroyed relatio 
 Who advising Asia issues indeed China US Taiwan BBC News TrumpTaiwan call China lodges protest 
 After Trumps Taiwan phone call fiasco Trump Organization caught lyingit brazenly denies planning ee 
 Trump takes congratulatory phone call Taiwan gets grief media Obama giving 500 billion toe 
 SumOfChoices MSM continues lie lie lie Taiwan called Trump He call Taiwan 
 If expect upset Trump treating Taiwan free state angering enormous communist tyranny ume 
 Obama breaks wdecades US policy Cuba amp gets endless fawning coverage Trump breaks wUS policy phoning Taiwant 
 Oh maaaanTrump camp denies plans expand Taiwan Trump employee posted work trip FB jusn 
 Liberal media Trump Taiwan call WWIII 
 Trump re Taiwan says she CALLED ME Guessing aide said Donald chick phone name sounds hot take call 
 TrumpTaiwan Finally Explained PIZZA GATE IS REAL GLOBALIST ELITE amp SATANIC CULT GAMES via wordpr 
 In current year media thinks phone call President Taiwan congratulate President Trump meansa 
 DrainTheSwamp Trumps Taiwan phone call preceded hotel development inquiry 
 Trumps phone call Taiwan raises conflict interest questions nytimes reports 
 Seems Trumps phone call Taiwan good way put China notice done doormat for 
 China lodges complaint US Trumps Taiwan phone call 
 Trump Org we planning expansion Taiwan How abt this Great find mega2e htt 
 San Antonio trends now Trump Taiwan Joe McKnight etsymntt MakeABandLazy IWillBeRememberedFor 
 Trumps Taiwan call due ignorance Conflict interestgreed behind callTrump betraying America to 
 On day TrumpTaiwan Im remembering POTUS still office Respect 
 Obama breaks wdecades US policy Cuba amp gets endless fawning coverage Trump breaks wUS policy phoning Taiwano 
 MSM says Trump cant talk leader Taiwan Hillary accept millions dollars countries enslave women 
 In break practice Trump speaks Taiwans leader via ReutersTV 
 China complains US Trumps unprecedented call Taiwan Trump She CALLED ME 
 StillLes4Hill passantino Remember Trump owes China money Seems business tie 
 Trump Org we planning expansion Taiwan How abt this Great find mega2e httn 
 If you cutting Trump slack Taiwan itbecause assume Chinese know hean unqualified ignorant buffoonnordp 
 In current year media thinks phone call President Taiwan congratulate President Trump means 
 So Obama made 18 billion arms deal wTaiwan amp fine Trump made 1 phone call Taiwan amp destroyed relation 
 GOP lawmakers praise Trump Taiwan call 
 IF TrumpTaiwan accepted congratulatory phone call 
 BiasedMedia Liberals would calling sexist 
 Donald Trump speaks directly Taiwans president breaking US policy set 1979 ties cut 
 MSM says Trump cant talk leader Taiwan Hillary accept millions dollars countries enslave womel 
