is_RT	retweet_from	whole_tweet_text	original_text	retweet_text	cleaned_retweet_text
1	DMRegister	"""@macresslertech: RT Via @DMRegister by @brianneDMR:“Trump: Bring back jobs from overseas” http://t.co/tVEX5w2ZqH Let's Make America Great"	" ""@macresslertech:"	 Via by @brianneDMR:“Trump: Bring back jobs from overseas” http://t.co/tVEX5w2ZqH Let's Make America Great	via by briannedmrtrump bring back jobs from overseas lets make america great
1	TeamTrump	RT @TeamTrump: Obama-Clinton FAILED foreign policy: -Bad nuclear deal -Ransom payment to leading state sponsor of terror -Sharing classifie…		 Obama-Clinton FAILED foreign policy: -Bad nuclear deal -Ransom payment to leading state sponsor of terror -Sharing classifie…	obamaclinton failed foreign policy bad nuclear deal ransom payment to leading state sponsor of terror sharing classifie
1	TeamTrump	RT @TeamTrump: .@HillaryClinton & @timkaine think you're #Deplorables & #BasementDwellers. @realDonaldTrump & @mike_pence think you're PATR…		 .@HillaryClinton & @timkaine think you're #Deplorables & #BasementDwellers. @realDonaldTrump & @mike_pence think you're PATR…	timkaine think youre deplorables basementdwellers realdonaldtrump mikepence think youre patr
1	TeamTrump	RT @TeamTrump: We need STRONG, BROAD-SHOULDERED leadership like @mike_pence & @realDonaldTrump in the White House! #VPDebate #BigLeagueTrut…		 We need STRONG, BROAD-SHOULDERED leadership like @mike_pence & @realDonaldTrump in the White House! #VPDebate #BigLeagueTrut…	we need strong broadshouldered leadership like mikepence realdonaldtrump in the white house vpdebate bigleaguetrut
1	GOP	RT @GOP: In @timkaine's own words ⬇️ #Debates2016 https://t.co/PMngoKHUjA		 In @timkaine's own words ⬇️ #Debates2016 https://t.co/PMngoKHUjA	in timkaines own words debates2016
1	TeamTrump	"RT @TeamTrump: “Police officers are the BEST of us. Law enforcement in this country is a force for GOOD."" - @mike_pence #VPDebate #BigLeagu…"		" “Police officers are the BEST of us. Law enforcement in this country is a force for GOOD."" - @mike_pence #VPDebate #BigLeagu…"	police officers are the best of us law enforcement in this country is a force for good mikepence vpdebate bigleagu
1	realDonaldTrump	"""@chuckesquivel: RT @realDonaldTrump ""@kormylo: @realDonaldTrump In my opinion you have a duty to run for president in 2016."	" ""@chuckesquivel:"	" ""@kormylo: @realDonaldTrump In my opinion you have a duty to run for president in 2016."	realdonaldtrump in my opinion you have a duty to run for president in 2016
1	TeamTrump	RT @TeamTrump: Law enforcement officers bring communities together & keep us safe. @mike_pence & @realDonaldTrump RESPECT & stand by them!…		 Law enforcement officers bring communities together & keep us safe. @mike_pence & @realDonaldTrump RESPECT & stand by them!…	law enforcement officers bring communities together keep us safe mikepence realdonaldtrump respect stand by them
1	TODAY_Clicker	RT @TODAY_Clicker: Get ready, @ApprenticeNBC fans! @realDonaldTrump promises plenty of mean and nasty action.. http://t.co/gwnxAHzIDa		 Get ready, @ApprenticeNBC fans! @realDonaldTrump promises plenty of mean and nasty action.. http://t.co/gwnxAHzIDa	get ready apprenticenbc fans realdonaldtrump promises plenty of mean and nasty action
1	KellyannePolls	RT @KellyannePolls: #Polls showing @realDonaldTrump surging, @hillaryclinton #slipping, have HER camp on defense/lowering expectations, goi…		 #Polls showing @realDonaldTrump surging, @hillaryclinton #slipping, have HER camp on defense/lowering expectations, goi…	polls showing realdonaldtrump surging hillaryclinton slipping have her camp on defenselowering expectations goi
