is_RT	retweet_from	whole_tweet_text	original_text	retweet_text	cleaned_retweet_text
1	TeamTrump	RT @TeamTrump: .@timkaine has a pay-to-play problem just like Crooked @HillaryClinton #VPDebates #BigLeagueTruth https://t.co/SPOIn8AN8m		 .@timkaine has a pay-to-play problem just like Crooked @HillaryClinton #VPDebates #BigLeagueTruth https://t.co/SPOIn8AN8m	has a paytoplay problem just like crooked hillaryclinton vpdebates bigleaguetruth
1	mike_pence	RT @mike_pence: There’s one clear choice in this election to create jobs and grow the American economy. #VPDebate https://t.co/cvv0cK6Fbt		 There’s one clear choice in this election to create jobs and grow the American economy. #VPDebate https://t.co/cvv0cK6Fbt	theres one clear choice in this election to create jobs and grow the american economy vpdebate
1	joshrogin	RT @joshrogin: Pence is right. Clinton & Obama tried to negotiate an Iraq troop extension but failed. Bush admin always anticipated such an…		 Pence is right. Clinton & Obama tried to negotiate an Iraq troop extension but failed. Bush admin always anticipated such an…	pence is right clinton obama tried to negotiate an iraq troop extension but failed bush admin always anticipated such an
1	TeamTrump	"RT @TeamTrump: ""She put the office of Sec of State up for sale. If she ever got the chance, she’d put the Oval Office up for sale too."" #Fo…"		" ""She put the office of Sec of State up for sale. If she ever got the chance, she’d put the Oval Office up for sale too."" #Fo…"	she put the office of sec of state up for sale if she ever got the chance shed put the oval office up for sale too fo
1	GOP	RT @GOP: On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain https://t.co/GKcaLkx8C8 ht…		 On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain https://t.co/GKcaLkx8C8 ht…	on national voterregistrationday make sure youre registered to vote so we can makeamericagreatagain ht
1	TeamTrump	RT @TeamTrump: .@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate. #Debates20…		 .@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate. #Debates20…	calling out hillaryclintons support for nafta most searched moment during tonights debate debates20
1	TeamTrump	RT @TeamTrump: 100% TRUE --> @realDonaldTrump is right - @HillaryClinton did call TPP ‘the gold standard’ #Debates2016 https://t.co/W7L7a9…		 100% TRUE --> @realDonaldTrump is right - @HillaryClinton did call TPP ‘the gold standard’ #Debates2016 https://t.co/W7L7a9…	100 true realdonaldtrump is right hillaryclinton did call tpp the gold standard debates2016
1	TeamTrump	RT @TeamTrump: Hillary's policies have made America less safe, that's why 200+ general and military leaders have endorsed @realDonaldTrump!…		 Hillary's policies have made America less safe, that's why 200+ general and military leaders have endorsed @realDonaldTrump!…	hillarys policies have made america less safe thats why 200 general and military leaders have endorsed realdonaldtrump
1	DanScavino	RT @DanScavino: Jesse Jackson on @realDonaldTrump - when he donated space for the Rainbow/Push Coalition. #DebateNight https://t.co/JTbqO0…		 Jesse Jackson on @realDonaldTrump - when he donated space for the Rainbow/Push Coalition. #DebateNight https://t.co/JTbqO0…	jesse jackson on realdonaldtrump when he donated space for the rainbowpush coalition debatenight
1	TeamTrump	RT @TeamTrump: When @realDonaldTrump is POTUS, families are going to be safe and secure. Law and order will be RESTORED! #MAGA #Debates #De…		 When @realDonaldTrump is POTUS, families are going to be safe and secure. Law and order will be RESTORED! #MAGA #Debates #De…	when realdonaldtrump is potus families are going to be safe and secure law and order will be restored maga debates de
1	TeamTrump	RT @TeamTrump: WATCH: @realDonaldTrump on the stakes in this election #Debates2016 https://t.co/l7DSbPXDGh		 WATCH: @realDonaldTrump on the stakes in this election #Debates2016 https://t.co/l7DSbPXDGh	watch realdonaldtrump on the stakes in this election debates2016
1	TeamTrump	RT @TeamTrump: A @realDonaldTrump Administration will bring JOBS BACK! #Debates2016 https://t.co/4O3rIyycyW		 A @realDonaldTrump Administration will bring JOBS BACK! #Debates2016 https://t.co/4O3rIyycyW	a realdonaldtrump administration will bring jobs back debates2016
1	IvankaTrump	RT @IvankaTrump: Thank you Angie Phillips for inviting me to tour your plant Middletown Tube Works. #Ohio https://t.co/fUKiiEIBXT		 Thank you Angie Phillips for inviting me to tour your plant Middletown Tube Works. #Ohio https://t.co/fUKiiEIBXT	thank you angie phillips for inviting me to tour your plant middletown tube works ohio
1	DonaldJTrumpJr	RT @DonaldJTrumpJr: Great group at our Victory Office in Columbus, Ohio. I'm incredibly grateful to have so many… https://t.co/rLJWCAGRlW		 Great group at our Victory Office in Columbus, Ohio. I'm incredibly grateful to have so many… https://t.co/rLJWCAGRlW	great group at our victory office in columbus ohio im incredibly grateful to have so many
1	atensnut	RT @atensnut: How many times must it be said? Actions speak louder than words. DT said bad things!HRC threatened me after BC raped me.		 How many times must it be said? Actions speak louder than words. DT said bad things!HRC threatened me after BC raped me.	how many times must it be said actions speak louder than words dt said bad thingshrc threatened me after bc raped me
1	atensnut	"RT @atensnut: Hillary calls Trump's remarks ""horrific"" while she lives with and protects a ""Rapist"". Her actions are horrific."		" Hillary calls Trump's remarks ""horrific"" while she lives with and protects a ""Rapist"". Her actions are horrific."	hillary calls trumps remarks horrific while she lives with and protects a rapist her actions are horrific
1	realDonaldTrump	"""@Buhlebabe: RT @realDonaldTrump: ""Pleasure in the job puts perfection in the work."" - Aristotle!"	" ""@Buhlebabe:"	" ""Pleasure in the job puts perfection in the work."" - Aristotle!"	pleasure in the job puts perfection in the work aristotle
1	MollyCBraswell	RT @MollyCBraswell: WHAT?! @realDonaldTrump is speaking at #CPAC2013? This conference just became, like, a hundred times more awesome!		 WHAT?! @realDonaldTrump is speaking at #CPAC2013? This conference just became, like, a hundred times more awesome!	what realdonaldtrump is speaking at cpac2013 this conference just became like a hundred times more awesome
1	CPACnews	RT @CPACnews: ACU Announces @realDonaldTrump will be a featured speaker at #CPAC2013! Get tickets today at http://t.co/DtCbF2iWsl!		 ACU Announces @realDonaldTrump will be a featured speaker at #CPAC2013! Get tickets today at http://t.co/DtCbF2iWsl!	acu announces realdonaldtrump will be a featured speaker at cpac2013 get tickets today at
1	mike_pence	RT @mike_pence: Congrats to my running mate @realDonaldTrump on a big debate win! Proud to stand with you as we #MAGA.		 Congrats to my running mate @realDonaldTrump on a big debate win! Proud to stand with you as we #MAGA.	congrats to my running mate realdonaldtrump on a big debate win proud to stand with you as we maga
1	TeamTrump	RT @TeamTrump: RT if you agree @realDonaldTrump WON the #Debate- BIG LEAGUE! #MAGA https://t.co/EmwDZ32uAZ		 if you agree @realDonaldTrump WON the #Debate- BIG LEAGUE! #MAGA https://t.co/EmwDZ32uAZ	if you agree realdonaldtrump won the debate big league maga
1	DonaldJTrumpJr	RT @DonaldJTrumpJr: Someone please fact check her coal comments. Give me a break. #debates		 Someone please fact check her coal comments. Give me a break. #debates	someone please fact check her coal comments give me a break debates
