is_RT	retweet_from	whole_tweet_text	original_text	retweet_text	stopwords_removed_retweet_text	Unnamed: 6	Unnamed: 7	feature_0	feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30	feature_31	feature_32	feature_33	feature_34	feature_35	feature_36	feature_37	feature_38	feature_39	feature_40	feature_41	feature_42	feature_43	feature_44	feature_45	feature_46	feature_47	feature_48	feature_49
1	DanScavino	 RT @DanScavino: Join #PEOTUS Trump & #VPEOTUS Pence live in West Allis, Wisconsin! #ThankYouTour2016 #MAGA https://t.co/vU5EPIYKUc https:/?? 		 Join #PEOTUS Trump & #VPEOTUS Pence live in West Allis, Wisconsin! #ThankYouTour2016 #MAGA https://t.co/vU5EPIYKUc https:/??Join VPEOTUS Pence live West Allis Wisconsin ThankYouTour2016 MAGA				1.4104074239730835	-0.3320038318634033	-0.08281249552965164	-0.29814618825912476	0.3157741129398346	1.0154237747192383	0.20292571187019348	0.0639370009303093	0.5416998267173767	-0.32406777143478394	0.761106014251709	-0.66122967004776	-1.2590060234069824	-0.3664056956768036	-0.257684588432312	-1.249019742012024	0.6881564259529114	0.2848234176635742	0.981282114982605	-0.2408885955810547	-0.8629421591758728	-0.42999669909477234	-0.4858091473579407	0.7290090918540955	-0.7088221311569214	0.6546115875244141	-0.1452486664056778	1.0999979972839355	0.3911808431148529	0.317149817943573	0.9051375389099121	0.8576728701591492	0.24550381302833557	-0.25643980503082275	0.14922307431697845	0.5109198093414307	-1.258626937866211	-1.0539264678955078	0.5089094042778015	-1.9123759269714355	1.2794049978256226	-1.3303911685943604	1.2795393466949463	0.9286360740661621	0.530880868434906	0.8625602126121521	0.10894948244094849	0.05878963693976402	-0.14096690714359283	-1.3744930028915405
1	DanScavino	 RT @DanScavino: On behalf of our next #POTUS & @TeamTrump- #HappyNewYear AMERICA_x1f1fa__x1f1f8_ https://t.co/Y6XDdijXea https://t.co/D8plL7xHql https:?? 		 On behalf of our next #POTUS & @TeamTrump- #HappyNewYear AMERICA_x1f1fa__x1f1f8_ https://t.co/Y6XDdijXea https://t.co/D8plL7xHql https:??behalf next POTUS TeamTrump HappyNewYear AMERICAx1f1fax1f1f8				0.07599936425685883	-0.5447027683258057	-0.5583405494689941	-0.9018020629882812	-0.35822010040283203	-0.21342837810516357	-0.8747217655181885	-0.876963198184967	1.1516999006271362	-0.02195126935839653	0.5012339949607849	0.10316476970911026	-1.2351657152175903	-0.351807564496994	-0.22217752039432526	-0.4682437479496002	0.28079307079315186	0.0012649744749069214	0.5898160338401794	-0.04915981739759445	-0.25930389761924744	0.2666582763195038	-0.0014971409691497684	0.039835572242736816	1.2019461393356323	1.015716314315796	-0.40804803371429443	0.8274465203285217	0.37598124146461487	0.04997439682483673	0.8744631409645081	0.822392463684082	0.5696877241134644	0.07657010108232498	-0.3736903667449951	0.8220855593681335	0.14018625020980835	0.6563056707382202	-0.5147372484207153	-1.0299509763717651	0.16671910881996155	-0.2531583309173584	0.5882484316825867	-0.11190395057201385	0.0927661806344986	0.36019012331962585	0.7173020839691162	0.12773266434669495	-0.5624486804008484	0.059846751391887665
1	EricTrump	 RT @EricTrump: 2016 was such an incredible year for our entire family! My beautiful wife @LaraLeaTrump made it even better! _x1f1fa__x1f1f8__x1f1fa__x1f1f8_ https://t.?? 		 2016 was such an incredible year for our entire family! My beautiful wife @LaraLeaTrump made it even better! _x1f1fa__x1f1f8__x1f1fa__x1f1f8_ https://t.??2016 incredible year entire beautiful wife LaraLeaTrump even x1f1fax1f1f8x1f1fax1f1f8				0.3615545332431793	-0.2491564005613327	-1.5355316400527954	0.9926342964172363	-1.868821620941162	-1.2876120805740356	-1.1796237230300903	-1.154124140739441	-0.5266700983047485	-0.6943610310554504	0.3635914921760559	0.04635892063379288	-2.02433705329895	-2.1661648750305176	0.38097918033599854	-1.5512523651123047	1.3376578092575073	-0.10909350961446762	0.21192632615566254	0.6401261687278748	-2.0438709259033203	0.7675020694732666	0.20333673059940338	2.2999038696289062	1.3459993600845337	0.45713478326797485	-1.450337529182434	0.9726249575614929	1.2716480493545532	2.1821815967559814	0.5788534879684448	0.4053184688091278	-0.8966294527053833	1.8144041299819946	-1.1652196645736694	-0.25377753376960754	-0.7407991290092468	0.3969193696975708	-0.2361176759004593	-1.6994450092315674	-0.19203616678714752	0.7564550042152405	0.36481431126594543	0.16545233130455017	0.26046022772789	0.520103394985199	0.08541570603847504	0.2198648303747177	-2.2517712116241455	0.7961775660514832
1	AdrianaCohen16	RT @AdrianaCohen16: Carly Fiorina no lifeboat for a fast-sinking @tedcruz campaign https://t.co/nHhENzFBck via @bostonherald @realdonaldtru??		 Carly Fiorina no lifeboat for a fast-sinking @tedcruz campaign https://t.co/nHhENzFBck via @bostonherald @realdonaldtru??Carly lifeboat fastsinking bostonherald				-0.1298917829990387	0.5518562197685242	-1.268408179283142	-0.5340410470962524	-1.5646754503250122	0.5765335559844971	-0.5635998249053955	0.10731808096170425	0.09761881083250046	0.19081658124923706	-0.2887144386768341	0.4562593102455139	-1.8273131847381592	-1.1677407026290894	1.056949496269226	-0.2048240602016449	0.7852282524108887	0.9607362151145935	0.695039689540863	0.12624722719192505	0.009045789949595928	-0.3154776692390442	0.21566501259803772	0.39737173914909363	0.3439570963382721	-0.18227852880954742	0.7023142576217651	1.346219778060913	-0.20764562487602234	0.7511213421821594	0.8403337001800537	-0.24710200726985931	0.4021298587322235	-0.4915200173854828	-0.3425614833831787	0.8054661154747009	0.010388766415417194	0.16013115644454956	-0.20913821458816528	-1.453879714012146	0.4557149112224579	-0.895719587802887	1.7024787664413452	-0.005821139086037874	1.0248979330062866	-0.3434716463088989	-0.3536597788333893	0.18212436139583588	-0.2100246250629425	0.31011083722114563
1	AnnCoulter	RT @AnnCoulter: Anyone who plans to talk about Trump ever again has to see this speech. Your opinion is irrelevant unless you listened to??		 Anyone who plans to talk about Trump ever again has to see this speech. Your opinion is irrelevant unless you listened to??Anyone talk Trump ever see				1.1858656406402588	0.9867616891860962	0.4378472864627838	-1.1476064920425415	-1.8012465238571167	0.4826469421386719	-1.6468615531921387	-0.932185173034668	2.1570680141448975	1.1285030841827393	0.9145548939704895	-0.26155537366867065	-2.0201051235198975	-0.7918316721916199	1.2907936573028564	-0.4564262926578522	0.7908567190170288	0.25003331899642944	1.270184874534607	0.1915254443883896	-0.2821699380874634	0.7181273698806763	0.4046943783760071	2.416318416595459	1.6551772356033325	-0.00988507829606533	-0.120763398706913	1.6340229511260986	1.5585170984268188	-0.3019595146179199	1.2596100568771362	0.8576308488845825	0.835365355014801	0.7425852417945862	-1.117690086364746	0.9608582854270935	-0.4851304292678833	-0.568125307559967	-0.2962529957294464	-1.823799729347229	0.18089544773101807	-0.5627161264419556	1.9407768249511719	0.7437187433242798	0.5275788903236389	-0.16087999939918518	0.23156404495239258	-0.5022352337837219	-0.6856669187545776	0.27272722125053406
1	AnnCoulter	"RT @AnnCoulter: RUMSFELD: Trump ""has a touched a nerve in our country...in a way that most politicians have not been able to do."" - https:/??		 RUMSFELD: Trump """"has a touched a nerve in our country...in a way that most politicians have not been able to do."""" - https:/??"		RUMSFELD Trump has touched nerve countryin way politicians do				0.2699696123600006	-0.4657363295555115	0.012064145877957344	1.1715883016586304	-0.9801934361457825	-0.212947815656662	0.43131518363952637	0.14474435150623322	0.9399451017379761	0.42309677600860596	0.6800159215927124	0.291363388299942	-0.4612921178340912	0.5012155771255493	0.8484597206115723	-0.7099103331565857	-0.27498915791511536	-0.17551372945308685	-0.1783016175031662	0.1337735801935196	0.06304317712783813	1.8498914241790771	0.5109070539474487	0.025254983454942703	-0.0031364704482257366	-0.08500542491674423	0.6409481167793274	-0.5816407799720764	1.6637001037597656	0.7367637753486633	0.5294960737228394	1.1670842170715332	0.27659279108047485	0.21736134588718414	0.1820666342973709	-0.20151329040527344	-0.9610646963119507	-1.1072354316711426	0.39552879333496094	-0.30759507417678833	-0.4241986870765686	-0.7560328841209412	0.9135410189628601	0.05877716839313507	-0.02866170182824135	0.4835585951805115	1.1600537300109863	0.5523126721382141	0.04936191812157631	0.16333803534507751
1	benshapiro	"RT @benshapiro: Pope on Trump: ""A person who thinks only about building walls...is not Christian."" This is Vatican City. https://t.co/ehmsL??		 Pope on Trump: """"A person who thinks only about building walls...is not Christian."""" This is Vatican City. https://t.co/ehmsL??"		Pope Trump A person thinks building wallsis Christian Vatican City				0.740144670009613	0.6405554413795471	0.28595638275146484	0.44979652762413025	-1.4070795774459839	-0.24643224477767944	-0.5616966485977173	0.8460178375244141	1.483655333518982	-1.2961660623550415	-0.28553125262260437	0.9212251901626587	0.3163641393184662	1.3568718433380127	1.1524457931518555	-1.2372488975524902	0.42618173360824585	0.43998557329177856	-1.1380747556686401	0.291170209646225	-1.6299415826797485	0.6624773740768433	-0.3321583569049835	1.322989583015442	0.6058624982833862	0.02020372450351715	-0.25887274742126465	-0.6941267251968384	0.16865327954292297	0.5922479629516602	2.0649538040161133	0.533912718296051	-0.9466772675514221	0.183437317609787	0.6557314991950989	0.4800633192062378	-0.15927837789058685	0.7257362008094788	0.9577348828315735	0.13182295858860016	0.8887341618537903	0.09096033126115799	-0.5318401455879211	1.1380902528762817	0.6880256533622742	0.5626546144485474	0.16552957892417908	0.7003098130226135	0.17202037572860718	1.1631543636322021
1	BretEastonEllis	RT @BretEastonEllis: Just back from a dinner in West Hollywood: shocked the majority of the table was voting for Trump but they would never??		 Just back from a dinner in West Hollywood: shocked the majority of the table was voting for Trump but they would never??back dinner Hollywood shocked majority would never				1.1853550672531128	-1.041835069656372	0.5257924199104309	-0.37131720781326294	-2.068683385848999	-2.6149091720581055	-2.1503684520721436	1.2240045070648193	3.0565054416656494	0.48439306020736694	-1.0672935247421265	0.137815922498703	-1.7632828950881958	0.5240440368652344	-0.39693376421928406	-1.4222759008407593	1.0199167728424072	-0.26897332072257996	-0.764484703540802	-2.0071253776550293	-0.9269080758094788	0.10097295045852661	0.7639851570129395	0.6123212575912476	1.5875623226165771	1.1478008031845093	-0.08354902267456055	-0.06723581254482269	3.0703606605529785	2.1416854858398438	1.2707633972167969	1.6908167600631714	1.2418744564056396	1.469712734222412	0.3088327944278717	0.20627862215042114	-1.1507490873336792	1.336721420288086	-0.4685833752155304	-1.6266968250274658	0.15471898019313812	0.4763944149017334	2.648423671722412	0.19602333009243011	0.5948402881622314	0.07425021380186081	0.10835140943527222	0.8597345948219299	-1.0300291776657104	-0.5023624300956726
1	Carl_C_Icahn	RT @Carl_C_Icahn: 2/2 How many of our presidents, even our great presidents, would have handled the antics that went on in that auditorium??		 2/2 How many of our presidents, even our great presidents, would have handled the antics that went on in that auditorium??22 many even would handled antics auditorium				0.5759677886962891	-2.0915188789367676	-2.437634229660034	-1.1477677822113037	-1.3409641981124878	-0.3874188959598541	-0.6573742628097534	0.594670832157135	2.043229818344116	0.7060427069664001	0.17401371896266937	0.8726571202278137	-2.632878303527832	-0.4015488624572754	-0.6916138529777527	-1.3359256982803345	2.7449300289154053	-0.11896244436502457	2.399501085281372	-0.23128359019756317	-2.0322396755218506	-0.8247506022453308	1.0920637845993042	1.1409270763397217	0.5875691175460815	-0.3479319214820862	-0.616618812084198	1.0246776342391968	1.5174835920333862	0.8290197849273682	0.144674152135849	1.9783892631530762	2.933000326156616	0.9587935209274292	0.35575059056282043	-0.23563620448112488	0.7522937655448914	1.0199397802352905	-1.3359415531158447	-0.492506206035614	0.01595107652246952	0.05877675488591194	-1.885643720626831	-1.339023232460022	-0.5800139307975769	0.6270408034324646	0.8815482258796692	0.125050887465477	-0.3846549689769745	-0.42662835121154785
1	CLewandowski_	RT @CLewandowski_: The Scrum: Video Emerges to Suggest WaPo Reporter Ben Terris Misidentifies Lewandowski in Fields Incident Breitbart htt??		 The Scrum: Video Emerges to Suggest WaPo Reporter Ben Terris Misidentifies Lewandowski in Fields Incident Breitbart htt??Scrum Video Emerges Suggest WaPo Reporter Terris Misidentifies Lewandowski Incident htt				0.28002530336380005	0.9209103584289551	-1.5376030206680298	-0.247197687625885	-2.6003715991973877	-1.0129927396774292	-0.8044555187225342	1.735948085784912	0.7885618209838867	1.3081198930740356	0.9904906153678894	-1.131664752960205	-1.8201074600219727	-0.18999284505844116	0.2679777145385742	-0.8259842991828918	-0.717204749584198	-0.5231819748878479	1.9086458683013916	1.3194628953933716	-2.0281033515930176	-0.8314406871795654	1.3798798322677612	0.7084004878997803	-1.3236892223358154	0.8259345293045044	-0.05521845445036888	0.41274139285087585	1.1237452030181885	0.215524360537529	-1.2092885971069336	1.0053560733795166	-0.894821047782898	0.20445282757282257	0.26961836218833923	-0.6592509150505066	-0.6540123224258423	-1.2516425848007202	0.3875681459903717	-1.4016176462173462	0.83334881067276	0.8670015335083008	0.20226266980171204	-0.44226181507110596	0.8996722102165222	1.8638873100280762	1.0079761743545532	-1.2288343906402588	-0.031161772087216377	0.5975381731987
