is_RT	retweet_from	whole_tweet_text	original_text	retweet_text	cleaned_retweet_text	feature_0	feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30	feature_31	feature_32	feature_33	feature_34	feature_35	feature_36	feature_37	feature_38	feature_39	feature_40	feature_41	feature_42	feature_43	feature_44	feature_45	feature_46	feature_47	feature_48	feature_49
1	SteveSGoddard	RT @SteveSGoddard: The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected l??e		 The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected l??e	the nytimes was thrilled by obama talking to communist dictator castro and horrified by trump talking to the elected le	0.3515252470970154	-0.5652952194213867	0.8173679709434509	0.12729163467884064	-0.47308260202407837	0.41077080368995667	-0.3355638086795807	-0.45075279474258423	-0.3327656090259552	-0.19791719317436218	0.36543700098991394	0.4491187036037445	-0.28022196888923645	-0.044616248458623886	-0.5839762091636658	-0.09081332385540009	-0.4739609360694885	-0.6034853458404541	-0.06761128455400467	-0.5319714546203613	1.074243187904358	-0.26118865609169006	0.21265622973442078	-0.042111899703741074	0.5381933450698853	0.38512274622917175	-1.1801012754440308	-0.023779861629009247	-0.7408263087272644	0.06226734817028046	0.5475943684577942	-0.4198858439922333	-0.5768033862113953	0.5394198894500732	0.0753537118434906	0.02455880306661129	0.2009008675813675	-0.41590017080307007	0.17867615818977356	-0.12767817080020905	0.21291862428188324	-0.30490222573280334	0.7049353718757629	-1.0883493423461914	-0.4649337828159332	1.0117099285125732	0.2921466529369354	0.06831211596727371	-0.7339532971382141	0.236715167760849
1	DonaldJTrumpJr	RT @DonaldJTrumpJr: Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq		 Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq	happy new year everyone newyear family vacation familytime	0.17705364525318146	-0.08444944024085999	-0.7032816410064697	0.43114662170410156	-0.9360502362251282	0.33914071321487427	0.02000868320465088	0.05424453690648079	0.1904417872428894	0.07978368550539017	0.0624610111117363	-0.4817589521408081	0.1310974359512329	0.41329100728034973	-0.24455666542053223	-0.0473095141351223	-0.027124986052513123	-0.19753055274486542	-0.27217838168144226	-0.22692158818244934	0.0693419799208641	0.022931717336177826	-0.23332805931568146	0.3619416654109955	0.3548945188522339	-0.05015747621655464	-0.36642321944236755	0.32463011145591736	-0.4220774173736572	0.11240652203559875	-0.20501276850700378	0.08305639028549194	0.7206746935844421	0.03617028146982193	0.1402834951877594	0.19782952964305878	-0.37807515263557434	0.41685983538627625	-0.41570430994033813	0.6380303502082825	-0.5260493159294128	0.12429405003786087	0.05548691749572754	0.41112130880355835	0.4950805902481079	-0.04399573802947998	-0.4732738137245178	0.7364726066589355	-0.3260768949985504	0.17115959525108337
1	VoteHillary2016	RT @VoteHillary2016: Trump says Taiwain leader called him, though Taiwain paper says Trump staffer arranged call https://t.co/xfEIYifG5h ht??e		 Trump says Taiwain leader called him, though Taiwain paper says Trump staffer arranged call https://t.co/xfEIYifG5h ht??e	trump says taiwain leader called him though taiwain paper says trump staffer arranged call hte	0.2142781764268875	-0.12702934443950653	0.033569276332855225	1.1017944812774658	-0.6696100831031799	0.37597399950027466	-0.5911098718643188	0.12274180352687836	-0.46092140674591064	1.0300711393356323	0.820877194404602	0.17867566645145416	-0.11976447701454163	0.8420568108558655	-0.8568864464759827	0.5942368507385254	-1.1547496318817139	-0.31051698327064514	0.47386884689331055	-0.244011789560318	0.23354996740818024	-0.5227620601654053	-0.8255115151405334	-0.2939298748970032	0.09399537742137909	-0.577090859413147	-1.2264307737350464	-0.07192540913820267	-0.8251401782035828	-0.7234265208244324	0.537486732006073	-0.740156352519989	0.23310433328151703	0.6788462400436401	-0.014262600801885128	0.3173554241657257	0.19804570078849792	-0.5626480579376221	-0.7840088605880737	0.5268174409866333	0.1291493922472	-0.27991530299186707	-0.3178190588951111	-1.3593534231185913	-0.3387923240661621	0.4758491516113281	-0.489579975605011	0.5283423066139221	-0.3102109730243683	-0.6688823699951172
1	NeonKnight1337	RT @NeonKnight1337: Donald Trump's call with Taiwan president was no surprise: Official https://t.co/QNEeWwh7gH https://t.co/asxcCO0tZD		 Donald Trump's call with Taiwan president was no surprise: Official https://t.co/QNEeWwh7gH https://t.co/asxcCO0tZD	donald trumps call with taiwan president was no surprise official	0.35904422402381897	-0.5892590880393982	0.27813926339149475	-0.19752201437950134	-0.14668597280979156	0.20205716788768768	-0.08543147891759872	-0.15850861370563507	-0.5905928611755371	0.062259282916784286	0.3315030634403229	-0.07230868935585022	-0.07386334985494614	-0.0425909049808979	-0.179424449801445	-0.3048561215400696	-0.3207932114601135	-0.1395464539527893	-0.3694939911365509	-0.026558857411146164	0.03385546803474426	-0.00208610319532454	0.3316287696361542	0.47172990441322327	-0.10321244597434998	-0.5072608590126038	-0.4500487446784973	0.6481760144233704	-0.7030693888664246	-0.5618996620178223	-0.17134042084217072	-0.1288658231496811	-0.6720473766326904	0.08540058135986328	-0.30770716071128845	0.27010270953178406	-0.5355953574180603	-0.27359840273857117	-0.049386877566576004	-0.09496820718050003	-0.27957451343536377	-0.04193175956606865	-0.3571886718273163	-0.008904249407351017	-0.37602105736732483	0.17601808905601501	-0.10377030819654465	0.14335811138153076	-0.07460962235927582	0.052972957491874695
1	gatewaypundit	RT @gatewaypundit: The Trump Hotel Waikiki looks like a lovely resort @realDonaldTrump #Hawaii		 The Trump Hotel Waikiki looks like a lovely resort @realDonaldTrump #Hawaii	the trump hotel waikiki looks like a lovely resort realdonaldtrump hawaii	-0.060776397585868835	-0.29966098070144653	-0.25395816564559937	-0.011773448437452316	-0.21169832348823547	0.5426310300827026	-0.2181236892938614	0.3102383613586426	-0.19790035486221313	0.5104503035545349	0.19192151725292206	-0.41561365127563477	-0.06426948308944702	0.027319973334670067	-0.3271457254886627	0.16987349092960358	-0.10767710953950882	-0.15110981464385986	-0.19723787903785706	0.2122354954481125	-0.2835458517074585	-0.02149290405213833	0.24804092943668365	0.21065349876880646	0.17663824558258057	0.008734403178095818	-0.33772122859954834	0.2586539089679718	0.17014673352241516	0.14722593128681183	-0.2701070010662079	0.12701764702796936	-0.022800881415605545	-0.22921377420425415	0.01704017072916031	0.0006405878229998052	-0.05005966126918793	0.28882622718811035	-0.5172260999679565	0.006917097140103579	0.08784404397010803	-0.08934614807367325	-0.3417046070098877	0.05041549354791641	-0.013641794212162495	0.12944480776786804	0.34821170568466187	0.1749977469444275	-0.13639648258686066	0.12485729902982712
1	TrumpInaugural	RT @TrumpInaugural: Counting down the days until the swearing in of @realDonaldTrump &amp; @mike_pence. Check in here for the latest updates. #…		 Counting down the days until the swearing in of @realDonaldTrump &amp; @mike_pence. Check in here for the latest updates. #…	counting down the days until the swearing in of realdonaldtrump amp mikepence check in here for the latest updates	0.6882317662239075	-0.05565614998340607	-0.7930188775062561	0.4222645163536072	-0.5699571967124939	-0.145782470703125	-0.17869795858860016	0.4577206075191498	0.19243159890174866	0.4863432049751282	0.26817506551742554	-0.3384598195552826	0.2570874094963074	-0.14576159417629242	-0.8688494563102722	0.2172020524740219	-0.25185272097587585	-0.5517455339431763	-0.4686969518661499	-0.010029617697000504	-0.07352039963006973	-0.10426801443099976	0.3904860019683838	0.45031335949897766	-0.19682471454143524	1.0701920986175537	-0.6251102685928345	0.3984706997871399	-0.28653383255004883	0.6420177817344666	0.01997489482164383	0.0070023867301642895	0.28480178117752075	0.17771370708942413	0.1759696751832962	0.38955095410346985	-0.40378251671791077	0.23935921490192413	0.7040016651153564	0.15724311769008636	0.3305773437023163	-0.3117055296897888	0.4713071882724762	0.3260500133037567	0.7089307904243469	-0.3164406418800354	0.4305133819580078	0.22529463469982147	-0.4351080060005188	0.5925581455230713
1	FoxNewsSunday	"RT @FoxNewsSunday: Sunday-- our exclusive interview with President-elect @realDonaldTrump 
Watch on @FoxNews at 2p/10p ET 
Check your local…"		" Sunday-- our exclusive interview with President-elect @realDonaldTrump 
Watch on @FoxNews at 2p/10p ET 
Check your local…"	"sunday our exclusive interview with presidentelect realdonaldtrump 
watch on foxnews at 2p10p et 
check your local"	-0.2550772428512573	-0.16697268187999725	-0.25783848762512207	-0.10651784390211105	-0.5211905241012573	-0.701492428779602	0.6551634073257446	0.4414081275463104	0.07456650584936142	0.5471006631851196	0.1475910097360611	-0.14463968575000763	-0.06819979101419449	-0.2536853849887848	0.17243753373622894	1.0524934530258179	0.3748417794704437	-0.173770010471344	-0.5051822662353516	-0.02576534077525139	0.4918220043182373	0.5960116386413574	0.8884472846984863	1.4602247476577759	-0.14539749920368195	-0.6457123160362244	-0.33354294300079346	0.33024877309799194	0.07146865874528885	-0.32367727160453796	-0.49665626883506775	0.13466878235340118	-0.1603059321641922	0.02182319201529026	0.31479525566101074	-0.6068158149719238	0.20664402842521667	0.8015095591545105	0.4042039215564728	0.9588813185691833	-0.5729975700378418	0.24153001606464386	0.1933121383190155	1.2748807668685913	-0.18596763908863068	0.20807179808616638	-0.16614839434623718	0.5238093733787537	0.8727490901947021	0.06387349218130112
1		"""@pellman11: @realDonaldTrump My mother has such a crush on you. She beat breast cancer this past year. Can I request a RT for my hero.Love"	" ""@pellman11: @realDonaldTrump My mother has such a crush on you. She beat breast cancer this past year. Can I request a"	 for my hero.Love	for my herolove	0.07857821881771088	-0.2335425317287445	-0.1752353012561798	-0.07327446341514587	-0.36448532342910767	0.0922895222902298	-0.06975936144590378	0.026030531153082848	-0.07266399264335632	0.4684244692325592	-0.021953769028186798	-0.2795979380607605	-0.014251946471631527	0.10233121365308762	-0.2016233503818512	0.13547545671463013	-0.14761348068714142	-0.09013939648866653	0.019080976024270058	-0.026625974103808403	-0.04489409178495407	0.21084214746952057	0.019303126260638237	0.5611565709114075	0.06310465931892395	-0.3025313913822174	-0.42191243171691895	0.10954594612121582	-0.2622566819190979	-0.1524285078048706	-0.24264006316661835	-0.2085595577955246	0.05253834277391434	0.0878068059682846	-0.059648677706718445	-0.11341812461614609	-0.22602114081382751	0.326210618019104	-0.1849534958600998	0.26133662462234497	-0.14202123880386353	0.10451067984104156	-0.15357570350170135	0.1861778199672699	0.0010164185659959912	0.1845523715019226	-0.09170045703649521	0.07463285326957703	0.22516290843486786	0.22331394255161285
1	jsavino16	"""@byron400: RT @jsavino16 @realDonaldTrump played Trump national in Los Angeles yesterday. What an amazing place. THANKS!"	" ""@byron400:"	 @realDonaldTrump played Trump national in Los Angeles yesterday. What an amazing place. THANKS!	played trump national in los angeles yesterday what an amazing place thanks	0.7197498679161072	-0.38097766041755676	-0.7256075143814087	0.6634716391563416	-0.8042187690734863	0.5196147561073303	0.2649245858192444	0.7675443887710571	-0.10543486475944519	0.243788942694664	0.9333146214485168	-0.3110167980194092	0.12203618884086609	0.15565553307533264	-1.097652554512024	0.3136390149593353	-0.578519880771637	-0.24934858083724976	-0.7161363959312439	0.038132499903440475	-0.009094382636249065	-0.3622415363788605	0.37743088603019714	0.8504471778869629	0.23370307683944702	0.31441211700439453	-0.8357079029083252	0.41220471262931824	-0.2709507346153259	0.0804184228181839	0.3092048764228821	0.4282324016094208	-0.7438297867774963	-0.4544963240623474	0.27867767214775085	0.7214668989181519	0.13587816059589386	0.3149242699146271	0.24687959253787994	0.490397572517395	0.5107890367507935	-0.06524728983640671	0.4503871202468872	0.39661386609077454	0.13318824768066406	-0.006639799103140831	0.6865408420562744	0.28439223766326904	-0.787480890750885	0.7532523274421692
1	DanScavino	"RT @DanScavino: Join #PEOTUS Trump &amp; #VPEOTUS Pence live in West Allis, Wisconsin! 
#ThankYouTour2016 #MAGA
https://t.co/vU5EPIYKUc https:/…"		" Join #PEOTUS Trump &amp; #VPEOTUS Pence live in West Allis, Wisconsin! 
#ThankYouTour2016 #MAGA
https://t.co/vU5EPIYKUc https:/…"	"join peotus trump amp vpeotus pence live in west allis wisconsin 
thankyoutour2016"	0.7444891333580017	-0.15440383553504944	-1.5521535873413086	1.1328749656677246	0.009863768704235554	0.13192592561244965	0.07363304495811462	0.56182861328125	0.24491733312606812	0.735772430896759	0.5881445407867432	-0.2175140678882599	-0.18390870094299316	-0.00276982132345438	-0.40993839502334595	0.21658539772033691	0.44604724645614624	-0.9677183032035828	-0.052374329417943954	0.5191734433174133	0.8003772497177124	0.14198994636535645	-0.018952040001749992	1.4260231256484985	0.08848750591278076	0.31123101711273193	-0.6471319198608398	0.9592483639717102	-0.7024899125099182	-0.1966433823108673	0.03705760836601257	-0.04640473425388336	0.8771228790283203	0.026146873831748962	-0.0829010009765625	0.18025268614292145	-0.6371474266052246	0.8732504844665527	0.15468049049377441	0.2506541609764099	0.15808920562267303	0.23460236191749573	0.22009703516960144	0.569930911064148	0.4922271966934204	0.2569931745529175	-0.026971688494086266	0.1556820571422577	-0.5218000411987305	0.5018112063407898
