retweet_text
 The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected l??e
 Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq
 Trump says Taiwain leader called him, though Taiwain paper says Trump staffer arranged call https://t.co/xfEIYifG5h ht??e
 Donald Trump's call with Taiwan president was no surprise: Official https://t.co/QNEeWwh7gH https://t.co/asxcCO0tZD
 The Trump Hotel Waikiki looks like a lovely resort @realDonaldTrump #Hawaii
 Counting down the days until the swearing in of @realDonaldTrump &amp; @mike_pence. Check in here for the latest updates. #…
" Sunday-- our exclusive interview with President-elect @realDonaldTrump 
Watch on @FoxNews at 2p/10p ET 
Check your local…"
 for my hero.Love
 @realDonaldTrump played Trump national in Los Angeles yesterday. What an amazing place. THANKS!
" Join #PEOTUS Trump &amp; #VPEOTUS Pence live in West Allis, Wisconsin! 
#ThankYouTour2016 #MAGA
https://t.co/vU5EPIYKUc https:/…"
" Join President-elect Trump LIVE from Mobile, Alabama via his #Facebook page! #ThankYouTour2016 
Watch: https://t.co/btzN080…"
" “@realDonaldTrump: We should not be importing the disease to our homeland.” Completely agree, Mr. Trump."""
" Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz"
 Happy New Year + God's blessings to you all. Looking forward to incredible things in 2017! @realDonaldTrump will Make America…
 2016 has been one of the most eventful and exciting years of my life. I wish you peace, joy, love and laughter. Happy New…
 Serious people worry China will start a war because Trump talked on the phone with Taiwan's president. Who is the crazy o??e
 ‏@DanScavino the photos that they don't show the public... http://t.co/io18z7NM9b
 - one would think the photo & caption - says it all.... http://t.co/0nOkuUvuuV
 Driving through Indiana and seeing tons of ugly windmills. Now I know what @realDonaldTrump is talking about
" The secret of getting ahead is getting started. -- Mark Twain"""
 @realdonaldtrump Margaret Thatcher NEVER would have allowed those wind mill monstrosities.
" Watch our interview with @KellyannePolls: Russia ""did not succeed"" in attempts to sway election https://t.co/EZhgUIUbYx #…"
 I have never been to Prague in my life. #fakenews https://t.co/CMil9Rha3D
" my daughter #JODIEDIXON she died 03/05/2014 age16 with cystic fibrosis thanx Jodie's dad http://t.co/jPoOB7OsTG"""
 .@BetsyDeVos has the talent, commitment, and leadership capacity to revitalize our public schools and deliver the promise…
" Thank you to @GolfDigest for this incredible feature! ""Golfer-in-Chief"" @RealDonaldTrump https://t.co/vpdY4jNbI4 https://t.c…"
" ""Do not allow anyone to tell you that it cannot be done. No challenge can match the HEART and FIGHT and SPIRIT of America.""…"
 Check out my May Redbook magazine cover. Very exciting! #Redbook http://t.co/xVp4QhZ3IL
 CNN reporting China has already contacted the White House over Trump? call with Taiwan pres https://t.co/4Itscs8Eq1n
" For the last 15 months, I've been talking incessantly about ""a million things we can't even predict"" with Trump. Taiwan/Ch??e"
 Thanks! @gem3wood: @DonaldJTrumpJr You guys @DoralResort have one hell of a leaderboard. Love this Tournament.
 #ElectoralCollege Trump has worried India by saying he'd go 2 Pakistan &amp; pissed off China by speaking w/ Taiwan Pres. Only y??i
 Taiwan News reported Nov. 16 that Trump was considering building luxury hotels in Taoyuan. https://t.co/RzW2cHWQVo Eric Tr??e
 China has lodged ?olemn representations??with the U.S. over Trump? phone call with Taiwan https://t.co/TtvIAVhDDNNY D??
 @anneapplebaum
 Instant Insight: Trump? dangerous Taiwan gambit https://t.co/FdnP52HRFv https://t.co/VfVDMPhJ7Mp
