is_RT	retweet_from	whole_tweet_text	original_text	retweet_text	stopwords_removed_retweet_text	feature_0	feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30	feature_31	feature_32	feature_33	feature_34	feature_35	feature_36	feature_37	feature_38	feature_39	feature_40	feature_41	feature_42	feature_43	feature_44	feature_45	feature_46	feature_47	feature_48	feature_49
1	SteveSGoddard	RT @SteveSGoddard: The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected l??e		 The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected l??e	nytimes thrilled Obama Castro horrified elected le	-0.06886029988527298	0.02231197990477085	0.09923794865608215	-0.03246196731925011	0.12194366008043289	0.1520013064146042	-0.01829923689365387	-0.1828976720571518	0.06480898708105087	0.021745048463344574	-0.01897341012954712	-0.10409236699342728	0.01500204298645258	-0.1105966717004776	-0.12188136577606201	-0.05174337700009346	-0.09380696713924408	0.22810252010822296	-0.11835237592458725	-0.1950557678937912	0.019755925983190536	0.06893265247344971	0.02171841450035572	0.22959649562835693	-0.047837432473897934	-0.25084662437438965	0.34620869159698486	0.002705841325223446	-0.018049197271466255	0.03543265536427498	0.07481029629707336	0.013711460866034031	-0.20640331506729126	0.030013877898454666	0.3149949312210083	0.05123628303408623	0.1289796084165573	-0.29808107018470764	0.0917094424366951	0.15297511219978333	-0.0005633127875626087	-0.02473560906946659	0.15216317772865295	-0.1249925047159195	0.21360963582992554	-0.19068603217601776	-0.02416178397834301	-0.31153517961502075	-0.05007641389966011	0.07249598205089569
1	DonaldJTrumpJr	RT @DonaldJTrumpJr: Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq		 Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq	Happy year everyone family vacation familytime	-0.09136707335710526	0.02921636775135994	0.04687926918268204	-0.07323938608169556	0.04799746721982956	0.14921201765537262	-0.06500052660703659	-0.06916617602109909	-0.03154510632157326	0.03545491769909859	-0.02516874670982361	-0.017154384404420853	-0.05424155294895172	-0.051748745143413544	0.005121249705553055	-0.06580410152673721	-0.10702157020568848	0.10801918804645538	-0.19143962860107422	-0.1606324017047882	0.011756204068660736	0.15280623733997345	-0.012151433154940605	0.11995469033718109	-0.10406085848808289	-0.20779697597026825	0.19228796660900116	0.004207811783999205	0.01567806489765644	0.08376287668943405	0.03659548982977867	-0.03544287756085396	-0.1189560815691948	-0.02528618648648262	0.2764917314052582	0.09516453742980957	0.05225328728556633	-0.24099718034267426	0.1280006319284439	0.09602995216846466	0.03941527381539345	0.0737227350473404	0.033815037459135056	-0.10301828384399414	0.11421853303909302	-0.16152867674827576	-0.08063749223947525	-0.20955686271190643	0.04527517035603523	0.07488395273685455
1	VoteHillary2016	RT @VoteHillary2016: Trump says Taiwain leader called him, though Taiwain paper says Trump staffer arranged call https://t.co/xfEIYifG5h ht??e		 Trump says Taiwain leader called him, though Taiwain paper says Trump staffer arranged call https://t.co/xfEIYifG5h ht??e	Trump says Taiwain called him Trump staffer	-0.08116085082292557	0.003926044795662165	0.062693752348423	0.0931667611002922	0.11493054777383804	0.10886431485414505	0.05247698724269867	-0.14349813759326935	-0.056043192744255066	0.09608431905508041	-0.018559660762548447	-0.09095492213964462	0.05929803475737572	-0.033659741282463074	-0.010643568821251392	-0.08025538176298141	0.032414887100458145	0.01205338817089796	-0.05777830630540848	-0.09082793444395065	0.05148790776729584	0.1781969964504242	-0.008121374994516373	0.06871749460697174	-0.036822397261857986	-0.12737011909484863	0.21437285840511322	-0.052460771054029465	-0.0704280287027359	0.10973671078681946	0.04149147495627403	0.003273160895332694	-0.17516325414180756	-0.04260629415512085	0.159163236618042	0.0392439104616642	0.057454969733953476	-0.2742600739002228	0.1298835426568985	0.17362424731254578	0.027239002287387848	0.11472178250551224	0.037386998534202576	-0.06901747733354568	0.09542524069547653	-0.12307128310203552	0.05791613087058067	-0.2080099731683731	-0.010152426548302174	0.18390847742557526
1	NeonKnight1337	RT @NeonKnight1337: Donald Trump's call with Taiwan president was no surprise: Official https://t.co/QNEeWwh7gH https://t.co/asxcCO0tZD		 Donald Trump's call with Taiwan president was no surprise: Official https://t.co/QNEeWwh7gH https://t.co/asxcCO0tZD	Donald call Taiwan surprise Official	-0.062142010778188705	0.07782651484012604	0.04440494626760483	-0.031900208443403244	0.040150877088308334	0.12116339057683945	0.0019887497182935476	-0.05694819986820221	0.03489569574594498	-0.012352025136351585	-0.02220940962433815	-0.06380462646484375	0.023616202175617218	-0.044405747205019	-0.011864514090120792	-0.014078929089009762	-0.01647935062646866	0.10021021217107773	-0.05431840196251869	-0.07778248935937881	0.03990534693002701	0.07435912638902664	0.0071994708850979805	0.12978044152259827	-0.04708553105592728	-0.10329519212245941	0.22602248191833496	-0.06563414633274078	-0.002721581608057022	-0.0028161490336060524	0.08521642535924911	-0.020411798730492592	-0.15241022408008575	0.04729869216680527	0.17336009442806244	0.007781322579830885	0.07306312024593353	-0.20536476373672485	0.046465303748846054	0.08771280199289322	0.05167268216609955	-0.042531028389930725	0.1052396148443222	-0.03154032677412033	0.11331998556852341	-0.05982847139239311	0.04229246452450752	-0.164491206407547	-0.046976760029792786	0.007274653296917677
1	gatewaypundit	RT @gatewaypundit: The Trump Hotel Waikiki looks like a lovely resort @realDonaldTrump #Hawaii		 The Trump Hotel Waikiki looks like a lovely resort @realDonaldTrump #Hawaii	Trump Hotel Waikiki looks like resort realDonaldTrump Hawaii	-0.02522106282413006	0.014049646444618702	0.04695770516991615	-0.052910905331373215	0.09890474379062653	0.042386237531900406	0.01603369414806366	-0.17176523804664612	-0.11288512498140335	-0.03173227235674858	0.004642109386622906	-0.03917616605758667	0.0757514014840126	-0.09441988170146942	0.017935490235686302	0.01097615621984005	-0.07495226711034775	0.2125387042760849	-0.1429368555545807	-0.12258146703243256	-0.08225943893194199	0.16808436810970306	-0.07197540998458862	0.15443521738052368	-0.016380447894334793	-0.20770303905010223	0.21050001680850983	0.050398994237184525	0.050670918077230453	0.11723482608795166	0.1077188178896904	-0.09986887872219086	-0.33441081643104553	-0.006742495112121105	0.21080230176448822	0.05226334556937218	-0.031117744743824005	-0.2602311372756958	0.14727093279361725	0.06114933639764786	-0.024418428540229797	0.09670096635818481	0.2541610896587372	0.004634281620383263	0.11969880014657974	-0.14336608350276947	0.0318734385073185	-0.3135717213153839	0.0696016475558281	0.029239049181342125
1	TrumpInaugural	RT @TrumpInaugural: Counting down the days until the swearing in of @realDonaldTrump &amp; @mike_pence. Check in here for the latest updates. #…		 Counting down the days until the swearing in of @realDonaldTrump &amp; @mike_pence. Check in here for the latest updates. #…	Counting days swearing mikepence Check latest	-0.02056526392698288	-0.037144001573324203	0.07239876687526703	-0.011080707423388958	0.12999702990055084	0.05879022553563118	-0.03484749048948288	-0.17699885368347168	-0.02573985978960991	0.0012084499467164278	-0.006410928908735514	-0.1104038879275322	-0.02085452899336815	-0.14058521389961243	-0.014890176244080067	-0.13424117863178253	-0.03309464827179909	0.2080310434103012	-0.12551578879356384	-0.16539309918880463	-0.06556253880262375	0.03724747523665428	-0.00488335220143199	0.14318649470806122	-0.06350000202655792	-0.20792704820632935	0.1800507754087448	0.05422065779566765	0.005490980111062527	0.06943801045417786	0.004765678662806749	-0.014756464399397373	-0.14181897044181824	-0.028996694833040237	0.20590221881866455	0.09395711869001389	0.008916451595723629	-0.18237188458442688	0.125212162733078	0.08701234310865402	-0.048481009900569916	-0.017600949853658676	0.13377000391483307	-0.05567526817321777	0.08984716236591339	-0.22250224649906158	0.01483639981597662	-0.16025562584400177	0.03572801128029823	0.07786654680967331
1	FoxNewsSunday	"RT @FoxNewsSunday: Sunday-- our exclusive interview with President-elect @realDonaldTrump 
Watch on @FoxNews at 2p/10p ET 
Check your local…"		" Sunday-- our exclusive interview with President-elect @realDonaldTrump 
Watch on @FoxNews at 2p/10p ET 
Check your local…"	"Sunday exclusive realDonaldTrump 
Watch 2p10p ET 
Check local"	-0.03775595873594284	0.008592377416789532	0.028051551431417465	-0.029543420299887657	0.05218622833490372	0.05806870013475418	-0.003334646811708808	-0.07304521650075912	-0.0011746167438104749	-0.005919535178691149	-0.009531532414257526	-0.045077525079250336	0.00032635327079333365	-0.04698871821165085	-0.01945146732032299	-0.02379165031015873	-0.017315924167633057	0.09434174746274948	-0.05289291590452194	-0.06948447972536087	0.007884622551500797	0.046383537352085114	-0.017038866877555847	0.08557350188493729	-0.031233424320816994	-0.09064608067274094	0.14379145205020905	0.00566797936335206	0.01441143173724413	0.03884017467498779	0.04743664339184761	-0.018230393528938293	-0.11517530679702759	0.00022177827486302704	0.11746169626712799	0.027945775538682938	0.025045102462172508	-0.13865798711776733	0.06116926297545433	0.060161665081977844	0.0017453802283853292	0.0015285778790712357	0.06848988682031631	-0.019039878621697426	0.062448494136333466	-0.08025895804166794	0.016310447826981544	-0.12335022538900375	0.0007813326665200293	0.047444358468055725
1		"""@pellman11: @realDonaldTrump My mother has such a crush on you. She beat breast cancer this past year. Can I request a RT for my hero.Love"	" ""@pellman11: @realDonaldTrump My mother has such a crush on you. She beat breast cancer this past year. Can I request a"	 for my hero.Love	heroLove	-0.00647262716665864	0.0003537820593919605	-0.00801860075443983	-0.002125293482095003	-0.006648818496614695	-0.0049935015849769115	0.00013045212836004794	-0.004775655921548605	-0.009432906284928322	-0.009116561152040958	0.002113275695592165	0.00019772017549257725	-0.008454152382910252	-0.005803847219794989	-0.0003869808278977871	0.0078063043765723705	0.0035691028460860252	-0.009675998240709305	0.0006372457137331367	-0.00103155302349478	-0.008584615774452686	-0.001599969225935638	-0.0062003773637115955	-0.0057900394313037395	-0.004789290484040976	0.007034542039036751	0.007050519809126854	-0.004395590163767338	-0.00938590057194233	0.001110282726585865	0.0013080766657367349	-0.004412679001688957	0.0014450052985921502	-0.0050301807932555676	-0.004253176040947437	-0.0011743393260985613	0.00315871206112206	-0.009925338439643383	-0.007175603415817022	-0.004042779561132193	-0.008708943612873554	0.002492464380338788	0.003771142102777958	0.0077866725623607635	-0.0017772819846868515	-0.005887471139431	-0.0030019141267985106	-0.0025777288246899843	-0.00035198390833102167	-0.0025808352511376143
1	jsavino16	"""@byron400: RT @jsavino16 @realDonaldTrump played Trump national in Los Angeles yesterday. What an amazing place. THANKS!"	" ""@byron400:"	 @realDonaldTrump played Trump national in Los Angeles yesterday. What an amazing place. THANKS!	played Trump Los yesterday place THANKS	-0.06946464627981186	0.04433998093008995	0.07584494352340698	-0.04853019863367081	0.10943440347909927	0.1480693370103836	-0.01737578772008419	-0.16808080673217773	0.02657366916537285	-0.014253065921366215	0.00737009709700942	-0.11515064537525177	0.013375353068113327	-0.14316746592521667	-0.06406055390834808	-0.04690629616379738	-0.030680770054459572	0.23001372814178467	-0.16723781824111938	-0.13413475453853607	-0.022083705291152	0.12032689899206161	-0.033259566873311996	0.21280024945735931	-0.061800338327884674	-0.26140424609184265	0.312904953956604	0.01688149943947792	-0.0013107642298564315	0.013093562796711922	0.04546891897916794	-0.03536451235413551	-0.2925995886325836	-0.001737668877467513	0.28149956464767456	0.03927672654390335	0.07102549076080322	-0.2804868221282959	0.17172807455062866	0.14121341705322266	-0.003768668044358492	0.04938948526978493	0.20247575640678406	-0.06801263988018036	0.18720833957195282	-0.1805940419435501	-0.011403552256524563	-0.2850935161113739	-0.0004031290300190449	0.035020507872104645
1	DanScavino	"RT @DanScavino: Join #PEOTUS Trump &amp; #VPEOTUS Pence live in West Allis, Wisconsin! 
#ThankYouTour2016 #MAGA
https://t.co/vU5EPIYKUc https:/…"		" Join #PEOTUS Trump &amp; #VPEOTUS Pence live in West Allis, Wisconsin! 
#ThankYouTour2016 #MAGA
https://t.co/vU5EPIYKUc https:/…"	"Join amp VPEOTUS Pence live West Allis Wisconsin 
ThankYouTour2016"	0.10059469193220139	-0.31098392605781555	-0.1889144629240036	0.12166344374418259	0.6375836133956909	-0.08115921914577484	0.24643053114414215	-0.39585185050964355	0.19749067723751068	-0.10226666927337646	-0.05473896861076355	0.021740026772022247	0.0013128803111612797	-0.24377259612083435	-0.25093382596969604	-0.2072913944721222	-0.2902049124240875	0.23265862464904785	-0.24149851500988007	-0.35071927309036255	0.1726422905921936	-0.14667834341526031	-0.10791560262441635	0.3638356029987335	0.22902287542819977	-0.36944741010665894	0.16378894448280334	0.6433005928993225	0.023525981232523918	0.20568691194057465	0.09198886156082153	0.014057557098567486	-0.2705344259738922	-0.2666139304637909	0.251065731048584	0.09471991658210754	-0.12639667093753815	-0.29084450006484985	0.19862142205238342	0.07387425005435944	-0.2595457434654236	-0.36638548970222473	-0.04024331271648407	-0.09135506302118301	0.09857598692178726	-0.6887415647506714	-0.18511627614498138	-0.37695783376693726	-0.1805688887834549	0.5442292094230652
