originaltext 
MysticWolf12001 Cmon KNOW one capable beating Clinton 
ChadWilliams91 president Ill move states tomorrow Trump worldleader you are hired Thanks 
HunterBalthazor ran president vote Get economy back track 
kyleraccio VinnyTitone think hell lead polls like last time healthy victory Trump 
HarryCraig96 Thanks 
Americanwoman00 Great interview Greta tell think awesome Thank you 
People proud fact got Obama release birth certificate recent book miraculously found 
GarryKennedy Great job Greta tonight huge fan really inspire me Thank you 
carlotalorenabr fact realDonaldTrump considering presidential run makes excited 
Via IvankaTrump Talks Hamptons Lifestyle Emmy Rossum 
GetKraven sir would vote 100 guaranteed decided show DemoRATS run country 
Looks like Anthony Weiner throughmost recent poll deeply last place GOOD NEWS 
thecoolestemma new season Celebrity Apprentice YES 
FoxNews legal analyst former prosecutor kimguilfoyle destroyed hack Schneidermans suit FNTheFive yesterdayShes sharp 
See cover HudsonMOD View digital edition 
systematic targeting Tea Party Obama administration Schneiderman goes me coincidence 
Kate donating kidney husband help fundanything donate 
SeanMichaelMc Chicago first time building amazing outside cool color inside 
curryslap Hey realDonaldTrump getting bashed TheRevAl lawsuit RevAl conning way life 
DrJulianXavier huge supporter political beliefs staytrumping Donald will 
Still buyers market somewhat fragile sure calculate risk rising rates coming sooner think 
RoyalStr8tFlush Wow good competition 
RICHNYJETS dam right Let fight among themselves Save men womens lives Save money None bus 
Congrats mboyle1 BreitbartNews exposing Jason Linkins HuffingtonPost lightweight dope gives false information 
Patch total loser AOL good deal compared HuffingtonPost ariannahuff laughs stupid Armstrong 
notthatactor Col Peters right adversaries r war w other Assad regime Al Q stay it 
kimguilfoyle Thanks support greatly enjoyed comments Five day Best wishes 
SenMikeLee refuted every point Karl 16 Rove made need defund ObamaCareMust listen TheRightScoop 
Mzk51Matt Bryant Gumbels cheap shot HBO Hes really dumb really jealous racist 
predicted long ago war Iraq disaster US Heading civil war bombings placeIran happy 
missed PGA Championship broadcast TimeWarner TWC arent giving subscribers major discounts 
TimeWarner going switching many buildings another servicethis ridiculous 
Greta gretawire tonight 10 PM Fox News 
Obama exempted businesses staff Congress ObamaCare still forcing monstrosity US 
Benghazi cover up ATTORNEY WHISTLEBLOWER 400 US MISSILES STOLEN BENGHAZI Really bad 
IoIcasey inspiration young entrepreneur Mr Trump Thanks nice thank you 
If sell creative David Ogilvy 
frankmorano think realDonaldTrumps book The America Deserve deserves read Written 2000 prescient 
AleRdzCuevas President country Mexico better learn Spanish fast 
VinnyTitone realdonaldtrump runs 2016 hard beat 
southtguy better answer would Yes come great idea others work ass off too 
The lightweight hack Schneiderman told Ivanka case weak more Meets Obama files one day later 
AG Schneiderman extorting targets lawyers contributions find out 
Republicans strong hand fight Obamacarelets see willing able play tuff 
CalebWatson never actually considered running President publicity stunt GoodBusinessMove WRONG 
Timc1021 Thanks 
realDonaldTrump Thanks 
GregMazares honor thanks 
CarlCICahn Carl keep lt going lot Apple stock Push QUICKLY come larger screen IPHone Samsung 
int destroying Schneidermans frivolous suit brought meeting Obama Thurs 
TheBigOffice Donald Trump talks people listen realDonaldTrump true 
ShawnaTova nice thanks 
lovemyklr realDonaldTrump good Trump could talk way everyone understand like Reagan 
candla think presidents much control everyone answers someone answers Michelle 
Via Trump Attorney general behind lawsuit total lightweight 
justingodfrey Great 
INDColtsFan President would 1st order businessTerminate Obamacare 
SharonDepp Love Ivankas StyleSimply Classic Beautiful Smart DDD Kisses True 
ampabirpatel Midas Touch Donald J Trump theRealKiyosaki 
Via Jeffrey Lord New Obama Scandal Erupts Trump Targeted 
RyneCPL finished TheArtOfTheDeal Awesome book w great insight Thanks good luck 
TuleTwilight Interesting 
TrumpVine money MacMiller 
740 Park Avenue robbed placewe come hard thieves Trump buildings 
DanScavino Thanks Dan 
garrendj Thanks 
ElmarosuElvin Thank you 
When brand begins build faced opportunities greater recognition Midas Touch 
notthatactor Clear path WH 16 Americans dissatisfied w economy decline CULTURE U R only1 
Randirobics Great good luck 
byrneman bought Trump shirt wedding went last fall looked awesome Ill bet did 
ariana97 realDonaldTrump runs president 2016 Ill old enough vote put office Wooh Trump2016 
Dont easily pleased anything else tough fight keep standards high Think Like Champion 
Miami tracking TrumpDorals 250M renovations Americas top resort PGATOUR signed 10 yr ext 
Congrats RoadHard raising 1M fundanything record 
Things happen make question whether keep going long enjoying doing keep going 
Givens1964 cool thanks 
txbpd caught interview gretawire DVR Always love hearing speak Thanks 
AaronPhaq Thanks 
korydc Thanks great remember really nice 
AlfiraAzzahra Great picture say hello 
BalloradoBoy think Gumbel wrote closing remark hbo Bryant smart enough dumb rock HBO 
dmurphy13 purely political move met wObamaMrTrump please put heat clown show 
PeteRose14 again time let time hits leader Pete Rose Baseball Hall Fame paid big price 
hope NY tax payer appreciates millions Schneiderman waste small case litigate victory 
See Schneiderman admit spoke Obama ongoing investigations 
therealHamzeh Went shopping today wedding coming got realDonaldTrump everything CountOnTrump Great fun 
Thug Politics Lightweight hack Schneiderman meets Obama Thursday brings frivolous suit Saturday 
Tommyguns11 stop talking run 2016 name ballot go vote MakeItHappen FixAmerica 
yrj77s clothing line excellentThanks 
dream country great again DreamDay 
TrumpChicago Windy Citys sole skyscraper feature 4 star hotel 4 star restaurant spa 
latoyajackson Thanks La Toya 
Via Images Donald Trumps 2nd Northeast golf course released Public say images 
poor smart leave exhusband ariannahuff get dollars got use name really stupid AOL deal 
ritter1025 Happy Birthday Bernice 
ariannahuff would love represent husbandyou would end nothing please call Tim Armstrong stupid weak 
lefthandedrant HuffingtonPost ariannahuff rerun stories every hourand yes goofy dopey 
LadyGaydar important person thats HuffingtonPost ariannahuff cant stop talking you 
alphakonstant True 
39caroline HuffingtonPost ariannahuff good cos dont read huffington post garbage failing badly 
kyleraccio Trump win wins everything else Awesome Thanks 
settle remaining comfort zone complacent good way get nowhere Take control move forward every day 
A general good bad troops command make him Gen Douglas MacArthur 
tracegallagher FredTecce discussing case FoxNews 
You owe community make property best be Think Like Billionaire 
NickTryIt ariannahuff HuffingtonPost even regarded valid source information anyone NO 
CBauer71 would pay see realDonaldTrump debate Obama OK me 
maximusreign NickTryIt ariannahuff HuffingtonPost Michael Moore likes Trump2016 
TruckerSamF NickTryIt ariannahuff HuffingtonPost Arianna 13 million followers Trump new 23 million 
Naplessun4664 maybe debating Hillary Maybe 
Miss Universe Pageant weve spoken wthe LGBT community Russia asked please dont leave would send wrong signal 
misery Obamas economic policies US households unemployed parent record high 2011 
Verniceblahblah trump hotels best AGREE THANKS 
failing HuffingtonPost dopey ariannahuff writing much false junk methey cant get enough CAREFUL 
MoFarber love inspirational quotes keeps us going thanks Donald Great 
me2palas1yap Naplessun4664 got dollars Trump 
sonnset2 knows best place 
liztemkin called LA prepaid 2 mos wout discount yet SHO TMC got bill reduced 59mo credit 
SullivanShane9 Visited Trump Towers today New York beautiful building 
LinFlies KevinMartinRI need White House Trump Thank you 
RonnaKirkland Send ties Eric Bolling needs them ericbolling so 
duqVille hey realDonaldTrump walked lobby trump soho far best hotel professional staff nyc Thanks 
texas4 great speech Iowa Thank you fun 
MatthewSmales1 Thank you 
Money may grow trees grow talent hard work brains Think Like Billionaire 
Congratulations JasonDufner winning PGA championship Great job 
SamRellim truethanks 
One Obamas greatest failures legacy making millions completely dependent government handouts work 
grindingdude will 
tjstoudt I really want realDonaldTrump speak Liberty University convocation again Great school 
mjayshilling Thanks 
jodiyilek vote Thanks 
